lat,lon,dpeth,BLOCKS,BOULDERS,COBBLES,GRAVEL,SAND,SILT,CLAY,BLOCKSIZE,BOULDERSIZE,COBBLESIZE,GRAVELSIZE,SANDSIZE,SILTSIZE,CLAYSIZE,i,j
45.99674789,-73.19030042,-10.758,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,197,14
45.99494872,-73.19035909,-12.398,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,198,14
45.99314955,-73.19041775,-15.738,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,199,14
45.99135037,-73.1904764,-16.368,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,200,14
45.9895512,-73.19053505,-16.908,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,201,14
45.98419452,-73.19329184,-15.248,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,204,13
45.98239534,-73.19335038,-15.188,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,205,13
45.98063694,-73.19598964,-15.278,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,206,12
45.97883776,-73.19604809,-15.218,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,207,12
45.9770793,-73.19868708,-15.858,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,208,11
45.97528011,-73.19874544,-14.988,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,209,11
45.97172239,-73.20144244,-14.388,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,211,10
45.96640593,-73.20677732,-16.038,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,214,8
45.96464719,-73.20941538,-15.298,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,215,7
45.9628884,-73.21205328,-13.988,0,0,10,30,40,0,20,0,0,0.0016,0.0045,0.00038762,0,4.00E-07,216,6
46.03428363,-73.17356795,-13.228,0,0,0,10,40,10,40,0,0,0,0.0015,0.00038762,2.90E-06,8.00E-07,176,20
