"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2000-01-01,308.5526528,54786,1,1,2000.00079690346,1801,2000,1,5.73189250236421,NA,NA,1.09054307205409,1.05916905607457,5.38230848045373,143486.688369479,15.5341503376563,879058.690350001,128541.693968855,4.82170895016363
2000-01-02,290.5453885,54787,1,2,2000.0035291439,1801,2000,2,5.67175980677237,NA,NA,0.964263011586684,1.05690370718066,4.61041076106004,115735.701805929,13.9462085877586,751904.410104318,115188.109576664,4.58859705044972
2000-01-03,299.2529155,54788,1,3,2000.00626138434,1801,2000,3,5.70128908708068,NA,NA,1.0097428283913,1.05995287523948,4.92361466163212,127302.282054025,13.306012249988,705682.252101185,96945.9097880441,3.74953453399296
2000-01-04,336.350804,54789,1,4,2000.00899362477,1801,2000,4,5.81815467483593,NA,NA,1.22420658361132,1.06787666371357,6.2742257321205,182333.451122745,12.6180118008165,653783.831001279,183575.23475793,6.31695640380815
2000-01-05,377.8746182,54790,1,5,2000.01172586521,1801,2000,5,5.93456244271208,NA,NA,1.43927283694943,1.07550718671683,7.60207199896052,248195.23667736,12.26444972638,614852.893767799,256238.120513563,7.84842073159784
2000-01-06,362.7201953,54791,1,6,2000.01445810565,1801,2000,6,5.89363172519092,NA,NA,1.35006673174448,1.07432784354779,7.05918409834815,221227.946047713,12.2965711799964,623659.970351792,204664.379976875,6.53065565378181
2000-01-07,347.5207868,54792,1,7,2000.01719034608,1801,2000,7,5.85082448134531,331.831051585714,NA,1.2566804218655,1.07314258352718,6.50040201605952,195179.744719064,12.0500648564529,606318.053774786,174279.859969261,5.80433771308291
2000-01-08,365.8855174,54793,1,8,2000.01992258652,1801,2000,8,5.90232049048205,340.021460814286,NA,1.34720980127692,1.0769596819354,7.04488274907805,222706.41721938,12.7747349131137,659789.436098046,63225.01740672,2
2000-01-09,377.4973175,54794,1,9,2000.02265482696,1801,2000,9,5.93356346270357,352.443164957143,NA,1.39865056082731,1.0796286942238,7.34764776579354,239649.176579495,16.118926740268,1074043.09470151,77722.4953164673,2.38297300752255
2000-01-10,339.6309612,54795,1,10,2000.0253870674,1801,2000,10,5.8278596198928,358.2114572,NA,1.18087046635645,1.07541809352227,6.07316306530897,178211.595691747,14.6250977563238,884284.488697112,69470.7618665199,2.36745125057068
2000-01-11,397.4752884,54796,1,11,2000.02811930783,1801,2000,11,5.98513276461473,366.9435264,NA,1.48534978352274,1.08297874807116,8.14999292295642,279885.956040869,14.0103973601053,776770.175349317,130516.761688894,3.80051467797244
2000-01-12,381.5364337,54797,1,12,2000.03085154827,1801,2000,12,5.94420634734412,367.4666429,NA,1.39072425812592,1.08326605560569,7.28634877407987,240192.650242668,15.8645395665484,916203.067761428,127334.134861643,3.86273650134712
2000-01-13,361.245815,54798,1,13,2000.03358378871,1801,2000,13,5.88955865458445,367.256017142857,NA,1.27248602457425,1.08176929378646,6.60953359224677,206294.372579612,13.9216507015911,727284.132498127,116149.822619988,3.721362559437
2000-01-14,355.793418,54799,1,14,2000.03631602914,1801,2000,14,5.87435027590379,368.4378216,NA,1.23220415091562,1.08217762426633,6.38202091389344,196186.841398221,17.2417129387431,1038358.25169743,114352.724215073,3.71993081849933
2000-01-15,354.2214269,54800,1,15,2000.03904826958,1801,2000,15,5.86992221730788,366.771522957143,NA,1.21329606040185,1.08309495735563,6.27656087567245,192092.458988627,13.7636108617566,733719.63702651,111727.922312095,3.65067483438163
2000-01-16,353.875257,54801,1,16,2000.04178051002,1801,2000,16,5.86894446967694,363.396942885714,NA,1.20125637180118,1.08417023817447,6.20984343587825,189864.858971622,11.5931963891454,564786.39965509,118853.519865871,3.8873004418391
2000-01-17,355.2484961,54802,1,17,2000.04451275046,1801,2000,17,5.87281753361146,365.6280193,NA,1.19897078910678,1.08544999012929,6.19645608610949,190190.739375944,11.1118999828179,536051.273877988,129389.35205346,4.21553352513458
2000-01-18,354.9887341,54803,1,18,2000.04724499089,1801,2000,18,5.87208605404228,359.558511542857,NA,1.1874344910519,1.08653417844978,6.13235078525266,188085.494215928,12.043768936115,642317.301445388,129235.705108052,4.21360871557808
2000-01-19,352.8890869,54804,1,19,2000.04997723133,1801,2000,19,5.86615380614526,355.466033428571,NA,1.16535143167919,1.08741514524422,6.01210355241949,183306.735327879,11.9243601731259,661103.369339296,137421.547908937,4.50715886071781
2000-01-20,346.4045952,54805,1,20,2000.05270947177,1801,2000,20,5.84760744218921,353.345859171429,NA,1.11755454611804,1.08782720030699,5.75724037982291,172310.502808078,10.3076008085403,500029.079068074,136146.6810492,4.54893437684621
2000-01-21,341.9259306,54806,1,21,2000.0554417122,1801,2000,21,5.8345941364134,351.364789542857,NA,1.0808025297961,1.08848707451336,5.56415223579142,164378.413257672,10.4881062157001,534384.465913866,132425.993880679,4.48257393002723
2000-01-22,336.6040283,54807,1,22,2000.05817395264,1801,2000,22,5.81890724930244,348.848018314286,NA,1.03841654736181,1.08908063793019,5.34467274007532,155436.915535593,10.0484583601564,502992.315072031,131931.72606421,4.53645067143013
2000-01-23,331.3446453,54808,1,23,2000.06090619308,1801,2000,23,5.80315905815015,345.6293595,NA,0.99570488854492,1.08970802505876,5.12687562101917,146773.104550025,9.26562248061217,438516.306632409,126378.870535132,4.41449237137086
2000-01-24,327.1721597,54809,1,24,2000.06363843352,1801,2000,24,5.79048651461709,341.6184543,NA,0.961682448758328,1.08969166429101,4.95465600575448,140056.603716091,8.98357887742319,417551.603437898,123936.715112132,4.38439726204255
