"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2000-01-01,2066.840454,54786,1,1,2000.00079690346,1801,2000,1,7.63377636947481,NA,NA,3.28011500582452,0.429399301276437,29.1507047679854,5205587.54777997,29.6722371289158,5444391.34521458,5010976.88455004,28.0609069427742
2000-01-02,1859.370635,54787,1,2,2000.0035291439,1801,2000,2,7.52799334116821,NA,NA,3.28620154346157,0.43733347804647,29.440138425144,4729547.13506334,29.664883543873,5608120.86001777,4775514.57198536,29.7262731580026
2000-01-03,1773.742565,54788,1,3,2000.00626138434,1801,2000,3,7.48084703678118,NA,NA,3.2859790788728,0.440681082350169,29.4831932619104,4518339.39424267,29.4894138758154,5542574.52094587,4631029.65500595,30.2185228701847
2000-01-04,1925.866622,54789,1,4,2000.00899362477,1801,2000,4,7.56313133866206,NA,NA,3.27424683948717,0.433672736836943,29.0533715333683,4834332.15776747,29.2101387880655,5345872.01110219,4858840.78125259,29.2006634695959
2000-01-05,1898.48816,54790,1,5,2000.01172586521,1801,2000,5,7.54881314314991,NA,NA,3.27109349530651,0.434394824792872,28.9761477325549,4752939.46112638,29.0488036368933,5315168.4691139,4764066.34725107,29.0439824480588
2000-01-06,2096.475143,54791,1,6,2000.01445810565,1801,2000,6,7.64801271011315,NA,NA,3.2591980970698,0.425904372049628,28.5239107582075,5166691.47812728,28.9127086322821,5313968.70457715,5408949.81133394,29.8613537052216
2000-01-07,2180.264873,54792,1,7,2000.01719034608,1801,2000,7,7.68720164977859,1971.57835028571,NA,3.25333770010001,0.421426844900901,28.3038917292251,5331742.3503151,28.8007124151061,5351766.55811453,5129121.25254718,27.2282648072039
2000-01-08,2127.473439,54793,1,8,2000.01992258652,1801,2000,8,7.66269037576325,1980.24020528571,NA,3.25042871243279,0.423749624317832,28.2520094623043,5193106.53662266,28.6026216713658,5403309.05370261,5164097.93701264,28.0941942461343
2000-01-09,2254.391943,54794,1,9,2000.02265482696,1801,2000,9,7.7206355672381,2036.67182071429,NA,3.24556910772158,0.415809623080786,28.02411170319,5458521.45312607,28.5400991334097,5460147.57734806,5224030.83167604,26.8202341650514
2000-01-10,2318.319133,54795,1,10,2000.0253870674,1801,2000,10,7.74859769043703,2114.46847328571,NA,3.24173241689313,0.411429150624203,27.8680205096915,5582041.78865365,28.5885234779507,5614483.04150639,5459336.54913391,27.2554217042628
2000-01-11,2778.068678,54796,1,11,2000.02811930783,1801,2000,11,7.92951124511093,2236.21162414286,NA,3.23745961895663,0.385753854594131,27.459017394795,6590854.32363104,28.7157372384198,5872659.4469489,6798712.29965328,28.3250016054879
2000-01-12,2711.434817,54797,1,12,2000.03085154827,1801,2000,12,7.90523322653061,2352.34686085714,NA,3.23430231522325,0.388605013062675,27.4052415581827,6420170.25755873,28.5249527904542,5896541.53833171,6219822.21483798,26.5500326951457
2000-01-13,2732.605325,54798,1,13,2000.03358378871,1801,2000,13,7.91301076459604,2443.22260114286,NA,3.23106239201537,0.386992515146878,27.2987241895723,6445149.61704178,28.27652752288,5918996.63451551,6283966.61742141,26.6160262675489
2000-01-14,2440.523489,54799,1,14,2000.03631602914,1801,2000,14,7.79996783994796,2480.40240342857,NA,3.2274737965728,0.402255679805481,27.3711665010221,5771517.81987524,27.9061311456514,5798287.01818833,5851024.64986223,27.7482241051845
2000-01-15,1999.301917,54800,1,15,2000.03904826958,1801,2000,15,7.60055335711292,2462.092186,NA,3.22564840882637,0.42569128383017,27.5922598049949,4766278.284503,27.6292514526758,5646411.01171567,4443747.77675278,25.725112099034
2000-01-16,2028.742972,54801,1,16,2000.04178051002,1801,2000,16,7.61517165462071,2429.85661871429,NA,3.22111638836867,0.423983486737877,27.444398077673,4810547.20788139,27.4408518096795,5523195.43400569,4681045.05005285,26.7055821763258
2000-01-17,2146.525969,54802,1,17,2000.04451275046,1801,2000,17,7.67160598589099,2405.31473814286,NA,3.21576895559305,0.418651332200893,27.2290219501556,5049890.15556787,27.2664850146712,5406980.29035405,4866584.45020322,26.2406370702469
2000-01-18,2081.105188,54803,1,18,2000.04724499089,1801,2000,18,7.64065437196866,2305.74852528571,NA,3.21254217456524,0.420853275400528,27.1669712452177,4884824.86277783,27.1352043559331,5308518.7237385,4991795.95974108,27.7618913901372
2000-01-19,2051.269807,54804,1,19,2000.04997723133,1801,2000,19,7.62621429842106,2211.43923814286,NA,3.20879889517793,0.421642766339914,27.0725488086673,4798060.01018666,26.9577230274826,5273918.05454237,5007681.63633736,28.2553167801534
2000-01-20,2307.698036,54805,1,20,2000.05270947177,1801,2000,20,7.74400578544634,2150.73819685714,NA,3.20559969845007,0.407082747519685,26.8198381923142,5347476.39648164,26.839814969292,5268326.8550449,5496736.68152862,27.5684411587775
2000-01-21,2384.777572,54806,1,21,2000.0554417122,1801,2000,21,7.77686113775741,2142.77449442857,NA,3.20261478821797,0.401953183242587,26.6816619280776,5497617.22125975,26.7396706894174,5193339.55417197,5479864.45394964,26.5955021762083
2000-01-22,2195.387135,54807,1,22,2000.05817395264,1801,2000,22,7.69411368125609,2170.78666842857,NA,3.1972950663418,0.413127289133151,26.6546021549026,5055883.54497358,26.6300903503879,5139130.65506689,4813688.48135788,25.37775054091
2000-01-23,2215.599543,54808,1,23,2000.06090619308,1801,2000,23,7.70327831989426,2197.48046428571,NA,3.19378281986693,0.411342696319304,26.537729529204,5080059.19444279,26.4920562829732,5078647.8206326,5173997.40892878,27.0284535213993
2000-01-24,2220.640875,54809,1,24,2000.06363843352,1801,2000,24,7.705551115638,2208.068308,NA,3.18753727104024,0.410944179221816,26.3768024827796,5060742.25637335,26.308093582994,5021678.78661635,5070827.97673167,26.4293696834611
2000-01-25,2087.649074,54810,1,25,2000.06637067395,1801,2000,25,7.64379386686986,2209.00314885714,NA,3.17471146185056,0.418438897401679,26.1554585096146,4717735.3789323,26.0933427300734,4961678.13114126,4776537.2824844,26.4814604205127
2000-01-26,2101.516057,54811,1,26,2000.06910291439,1801,2000,26,7.65041429514879,2216.18118457143,NA,3.16388314795664,0.418225573188357,25.8984188023878,4702401.47210071,25.8773727454473,4981853.25724584,4606296.50352601,25.3691218591334
2000-01-27,2041.101071,54812,1,27,2000.07183515483,1801,2000,27,7.62124468191692,2178.09590385714,NA,3.15048721997708,0.421011863370117,25.622657613848,4518584.68874326,25.6623717552764,4907513.30131778,4634377.2951715,26.2792601814876
2000-01-28,1948.07989,54813,1,28,2000.07456739526,1801,2000,28,7.57459949465517,2115.71052071429,NA,3.13413817358575,0.425112123195885,25.3024826606682,4258764.65995098,25.4068375407424,4819250.5686042,4079168.27693954,24.2354515542539
2000-01-29,2038.254918,54814,1,29,2000.0772996357,1801,2000,29,7.61984928839427,2093.26306114286,NA,3.12695311358137,0.421738530554214,25.0837475361714,4417379.00157357,25.1335227409828,4739273.639003,4501386.34233098,25.5607767713793
2000-01-30,1892.387563,54815,1,30,2000.08003187614,1801,2000,30,7.54559457165761,2047.08992114286,2163.46342876667,3.10474600276194,0.427808988356877,24.6686532807471,4033381.19020804,24.8819533379219,4648306.29188169,4337281.02172947,26.5273418654213
2000-01-31,2005.729119,54816,1,31,2000.08276411658,1801,2000,31,7.60376292400996,2016.38824171429,2161.42638426667,3.10092382298678,0.423568676772983,24.5072386912774,4246981.8280743,24.6440278797484,4609416.49136078,4288892.13719322,24.7490824266127
2000-02-01,1994.999963,54817,2,32,2000.08549635701,1802,2000,32,7.5983993107776,2003.15265442857,2165.94736186667,3.08790023618422,0.424241333413524,24.2162103541429,4174099.66890852,24.3889687497322,4536575.15869049,4282707.75748,24.8463046325807
2000-02-02,2080.53397,54818,2,33,2000.08822859745,1802,2000,33,7.64037985609551,2000.15521342857,2176.17374203333,3.08428041550149,0.421478660953647,24.0746324804011,4327611.03567992,24.1315377964604,4488670.5366892,4478253.17374877,24.912659299394
2000-02-03,2117.551234,54819,2,34,2000.09096083789,1802,2000,34,7.65801562174708,2011.07666528571,2182.5632291,3.07694247722239,0.420581540959974,23.8793979889208,4368889.32583245,23.8246908759017,4377263.14845142,4096320.0880349,22.3895938708766
2000-02-04,2151.484749,54820,2,35,2000.09369307832,1802,2000,35,7.67391346371065,2040.13450228571,2190.99644873333,3.06992374317753,0.419836817318185,23.692764184762,4404207.2375666,23.5801014748932,4335667.35811146,4546555.26419221,24.4585361035399
2000-02-05,2268.324089,54821,2,36,2000.09642531876,1802,2000,36,7.72679655102341,2073.00152671429,2196.72474693333,3.07438565239077,0.414780964006238,23.7308476218646,4650847.48624872,23.3322611589014,4319401.87912073,4892504.60072039,24.9638977653541
2000-02-06,2127.101152,54822,2,37,2000.0991575592,1802,2000,37,7.66251537025189,2106.53203942857,2194.9526229,3.04545889358023,0.421415546343851,23.1439012941973,4253421.81064274,23.1191174246847,4286927.25128941,4161953.05922631,22.6461975985543
2000-02-07,2071.175267,54823,2,38,2000.10188979964,1802,2000,38,7.63587148697939,2115.88148914286,2193.07601716667,3.02646010020127,0.423477288529011,22.7494085367572,4070996.26273815,22.7476809435314,4154890.04620463,4060518.33481893,22.6908561217046
2000-02-08,1983.650959,54824,2,39,2000.10462204007,1802,2000,39,7.5926943444443,2114.26020285714,2184.0513177,3.0009505492613,0.426452579676822,22.2357502105052,3810928.36859883,22.5159160937029,4126186.47331077,3787764.78222759,22.1005968644664
2000-02-09,1909.409043,54825,2,40,2000.10735428051,1802,2000,40,7.55454907159545,2089.81378471429,2170.42098136667,2.97540794681452,0.428971203542827,21.7165453453037,3582642.36081966,22.2002371330402,4037500.32009005,3464738.00036262,21.0018562604326
