lat,lon,i,j,UTM_E,UTM_N,depth
46.3372384706524,-72.5319907925961,1,263,689936.657940476,5134478.32235346,-12.978
46.3371823697299,-72.5293944763757,1,264,690136.657940476,5134478.32235348,-18.298
46.3371262099093,-72.5267981678959,1,265,690336.657940478,5134478.32235349,-18.298
46.3354962187702,-72.5346679821337,2,262,689736.65794049,5134278.32235345,-12.958
46.3354401802441,-72.5320717431296,2,263,689936.65794049,5134278.32235346,-16.068
46.3353840828232,-72.5294755118571,2,264,690136.657940492,5134278.32235348,-16.448
46.335327926508,-72.5268792883242,2,265,690336.657940494,5134278.32235349,-15.028
46.3352717112988,-72.5242830725391,2,266,690536.657940493,5134278.32235351,-13.148
46.3337539003234,-72.5373450017807,3,261,689536.657940506,5134078.32235344,-11.958
46.3336979241867,-72.5347488399948,3,262,689736.657940507,5134078.32235345,-14.498
46.3336418891584,-72.5321526859315,3,263,689936.657940504,5134078.32235347,-14.138
46.3335857952389,-72.5295565395988,3,264,690136.657940506,5134078.32235348,-13.708
46.3335296424287,-72.5269604010048,3,265,690336.657940509,5134078.32235349,-13.338
46.3334734307284,-72.5243642701577,3,266,690536.657940508,5134078.32235351,-13.238
46.3334171601382,-72.5217681470654,3,267,690736.657940508,5134078.32235352,-12.918
46.3319556015688,-72.5374257669858,4,261,689536.657940518,5133878.32235343,-12.958
46.3318996289259,-72.5348296901335,4,262,689736.657940519,5133878.32235345,-16.588
46.3318435973951,-72.5322336210028,4,263,689936.657940521,5133878.32235346,-17.628
46.3317875069769,-72.5296375596018,4,264,690136.657940524,5133878.32235348,-15.068
46.3317313576716,-72.5270415059386,4,265,690336.657940523,5133878.32235349,-13.258
46.3316751494798,-72.5244454600213,4,266,690536.657940522,5133878.32235351,-13.668
46.3316188824018,-72.521849421858,4,267,690736.657940522,5133878.32235352,-13.718
46.3315625564383,-72.5192533914568,4,268,690936.657940522,5133878.32235354,-9.588
46.3302132124017,-72.5401025241169,5,260,689336.657940531,5133678.32235342,-12.958
46.3301573021371,-72.5375065244774,5,261,689536.657940533,5133678.32235343,-16.738
46.3301013329879,-72.5349105325505,5,262,689736.657940535,5133678.32235345,-18.878
46.3300453049545,-72.5323145483443,5,263,689936.657940534,5133678.32235346,-19.418
46.3299892180372,-72.5297185718669,5,264,690136.657940537,5133678.32235348,-15.428
46.3299330722366,-72.5271226031264,5,265,690336.657940537,5133678.32235349,-14.598
46.329876867553,-72.5245266421309,5,266,690536.657940536,5133678.32235351,-13.778
46.3298206039871,-72.5219306888885,5,267,690736.657940536,5133678.32235352,-12.598
46.3297642815392,-72.5193347434072,5,268,690936.657940539,5133678.32235354,-10.498
46.3297079002097,-72.5167388056952,5,269,691136.657940538,5133678.32235355,-6.478
46.3284707566966,-72.5427791114025,6,259,689136.657940547,5133478.32235341,-12.048
46.3284149088033,-72.5401831889776,6,260,689336.657940549,5133478.32235342,-12.958
46.3283590020285,-72.5375872742563,6,261,689536.657940548,5133478.32235344,-20.008
46.3283030363727,-72.5349913672468,6,262,689736.657940547,5133478.32235345,-19.848
46.3282470118364,-72.5323954679571,6,263,689936.65794055,5133478.32235346,-18.418
46.3281909284198,-72.5297995763952,6,264,690136.65794055,5133478.32235348,-15.668
46.3281347861236,-72.5272036925693,6,265,690336.65794055,5133478.32235349,-13.578
46.3280785849482,-72.5246078164875,6,266,690536.657940554,5133478.32235351,-13.038
46.3280223248941,-72.5220119481578,6,267,690736.657940554,5133478.32235352,-9.488
46.3279660059616,-72.5194160875884,6,268,690936.657940553,5133478.32235354,-4.049
46.3279096281512,-72.5168202347873,6,269,691136.657940555,5133478.32235355,-2.984
46.3266724489356,-72.5428596836484,7,259,689136.657940563,5133278.3223534,-11.328
46.3266166045282,-72.5402638461346,7,260,689336.657940562,5133278.32235342,-17.508
46.326560701243,-72.5376680163236,7,261,689536.657940561,5133278.32235343,-20.658
46.3265047390803,-72.5350721942233,7,262,689736.657940562,5133278.32235345,-19.518
46.3264487180408,-72.5324763798419,7,263,689936.657940562,5133278.32235346,-17.938
46.3263926381248,-72.5298805731875,7,264,690136.657940564,5133278.32235348,-13.428
46.3263364993328,-72.5272847742681,7,265,690336.657940564,5133278.32235349,-12.198
46.3262803016653,-72.5246889830919,7,266,690536.657940565,5133278.3223535,-3.413
46.3262240451227,-72.5220931996669,7,267,690736.657940565,5133278.32235352,-3.282
46.3261677297054,-72.5194974240013,7,268,690936.657940568,5133278.32235354,-3.184
46.3261113554139,-72.516901656103,7,269,691136.65794057,5133278.32235355,-0.97
46.3248741404982,-72.5429402481997,8,259,689136.657940578,5133078.3223534,-12.958
46.3248182995764,-72.540344495589,8,260,689336.657940578,5133078.32235342,-20.668
46.3247623997804,-72.53774875068,8,261,689536.657940579,5133078.32235343,-21.698
46.3247064411108,-72.5351530134809,8,262,689736.65794058,5133078.32235345,-18.018
46.3246504235679,-72.5325572839998,8,263,689936.657940578,5133078.32235346,-14.308
46.3245943471522,-72.5299615622447,8,264,690136.657940581,5133078.32235348,-9.958
46.3245382118642,-72.5273658482238,8,265,690336.657940582,5133078.32235349,-3.921
46.3244820177043,-72.5247701419451,8,266,690536.65794058,5133078.32235351,-2.599
46.3244257646729,-72.5221744434167,8,267,690736.657940581,5133078.32235352,-3.841
46.3243694527706,-72.5195787526467,8,268,690936.657940584,5133078.32235353,-1.319
46.3243130819978,-72.5169830696432,8,269,691136.657940581,5133078.32235355,-0.541
46.3231316099497,-72.545616480466,9,258,688936.657940588,5132878.32235339,-1.148
46.3230758313842,-72.5430208050573,9,259,689136.657940591,5132878.3223534,-17.878
46.3230199939478,-72.5404251373415,9,260,689336.657940589,5132878.32235342,-20.808
46.322964097641,-72.5378294773266,9,261,689536.657940591,5132878.32235343,-21.018
46.3229081424641,-72.5352338250206,9,262,689736.657940594,5132878.32235345,-15.908
46.3228521284176,-72.5326381804316,9,263,689936.657940594,5132878.32235346,-10.968
46.322796055502,-72.5300425435678,9,264,690136.657940594,5132878.32235347,-8.268
46.3227399237177,-72.5274469144372,9,265,690336.657940593,5132878.32235349,-2.115
46.3226837330652,-72.524851293048,9,266,690536.657940596,5132878.3223535,-3.501
46.3226274835449,-72.5222556794081,9,267,690736.657940598,5132878.32235352,-1.889
46.3225711751573,-72.5196600735257,9,268,690936.657940597,5132878.32235353,-0.88
46.3213332966778,-72.545696944743,10,258,688936.657940606,5132678.32235339,-13.698
46.3212775215938,-72.5431013542222,10,259,689136.657940603,5132678.3223534,-18.598
46.3212216876426,-72.5405057713932,10,260,689336.657940606,5132678.32235342,-19.758
46.3211657948246,-72.5379101962641,10,261,689536.657940606,5132678.32235343,-19.028
46.3211098431402,-72.5353146288432,10,262,689736.657940608,5132678.32235345,-13.418
46.3210538325899,-72.5327190691383,10,263,689936.657940606,5132678.32235346,-10.968
46.3209977631741,-72.5301235171577,10,264,690136.657940608,5132678.32235348,-4.379
46.3209416348934,-72.5275279729094,10,265,690336.657940609,5132678.32235349,-4.107
46.320885447748,-72.5249324364014,10,266,690536.657940609,5132678.3223535,-2.205
46.3208292017386,-72.522336907642,10,267,690736.657940608,5132678.32235352,-1.152
46.3207728968656,-72.5197413866391,10,268,690936.657940613,5132678.32235353,-0.649
46.3195906954682,-72.5483729146604,11,257,688736.657940618,5132478.32235337,-2.841
46.3195349827296,-72.5457774013363,11,258,688936.657940618,5132478.32235339,-17.868
46.319479211127,-72.5431818956951,11,259,689136.657940621,5132478.3223534,-20.448
46.3194233806607,-72.5405863977449,11,260,689336.657940618,5132478.32235342,-20.608
46.3193674913313,-72.5379909074937,11,261,689536.657940621,5132478.32235343,-17.098
46.3193115431392,-72.5353954249496,11,262,689736.657940621,5132478.32235345,-12.388
46.3192555360848,-72.5327999501208,11,263,689936.657940621,5132478.32235346,-4.565
46.3191994701687,-72.5302044830153,11,264,690136.657940622,5132478.32235348,-3.58
46.3191433453912,-72.5276090236411,11,265,690336.657940621,5132478.32235349,-2.163
46.3190871617528,-72.5250135720064,11,266,690536.657940624,5132478.3223535,-1.043
46.319030919254,-72.5224181281193,11,267,690736.657940625,5132478.32235352,-0.85
46.3189746178953,-72.5198226919878,11,268,690936.657940624,5132478.32235353,-0.385
46.3178480277668,-72.5510487148238,12,256,688536.65794063,5132278.32235336,-1.821
46.3177923773664,-72.5484532786983,12,257,688736.657940633,5132278.32235337,-13.188
46.3177366681052,-72.5458578502467,12,258,688936.657940631,5132278.32235339,-19.858
46.3176808999836,-72.5432624294771,12,259,689136.657940633,5132278.3223534,-20.558
46.3176250730021,-72.5406670163975,12,260,689336.657940637,5132278.32235342,-18.528
46.3175691871611,-72.5380716110161,12,261,689536.657940634,5132278.32235343,-13.098
46.317513242461,-72.5354762133409,12,262,689736.657940637,5132278.32235344,-4.687
46.3174572389024,-72.53288082338,12,263,689936.657940637,5132278.32235346,-2.949
46.3174011764856,-72.5302854411414,12,264,690136.657940636,5132278.32235347,-2.648
46.3173450552112,-72.5276900666334,12,265,690336.657940639,5132278.32235349,-1.192
46.3172888750796,-72.5250946998639,12,266,690536.657940637,5132278.3223535,-0.785
46.3172326360912,-72.522499340841,12,267,690736.65794064,5132278.32235352,-0.537
46.3161052935848,-72.5537243452475,13,255,688336.657940647,5132078.32235334,-0.348
46.3160497055156,-72.5511289863225,13,256,688536.657940647,5132078.32235336,-10.278
46.3159940585887,-72.5485336350623,13,257,688736.657940648,5132078.32235337,-17.968
46.3159383528046,-72.5459382914752,13,258,688936.657940645,5132078.32235339,-20.378
46.3158825881639,-72.543342955569,13,259,689136.65794065,5132078.3223534,-20.648
46.3158267646668,-72.540747627352,13,260,689336.657940649,5132078.32235342,-15.428
46.315770882314,-72.5381523068323,13,261,689536.65794065,5132078.32235343,-8.408
46.3157149411058,-72.5355569940178,13,262,689736.657940653,5132078.32235345,-2.764
46.3156589410426,-72.5329616889168,13,263,689936.657940653,5132078.32235346,-3.236
46.315602882125,-72.5303663915372,13,264,690136.657940652,5132078.32235348,-1.448
46.3155467643534,-72.5277711018871,13,265,690336.65794065,5132078.32235349,-0.717
46.3154905877283,-72.5251758199747,13,266,690536.657940655,5132078.3223535,-0.69
