"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2000-01-01,117.017035745188,54786,1,1,2000.00079690346,1801,2000,1,4.75686668168824,NA,NA,0.232706293113136,0.241674246669712,1.30050820112691,13148.4915064665,1.78554637106185,50828.9065545186,12908.3896522999,1.27675989279086
2000-01-02,115.309843444529,54787,1,2,2000.0035291439,1801,2000,2,4.74216994892013,NA,NA,0.232278005103511,0.240592946747549,1.29952220604599,12946.841464192,1.76142971208817,46988.275935427,12841.4804301234,1.28894673064507
2000-01-03,114.384655344172,54788,1,3,2000.00626138434,1801,2000,3,4.73411409117244,NA,NA,0.233572844050768,0.240205160221964,1.30108532944602,12858.4106192483,1.6726803224235,35494.1092966088,12643.9712259653,1.27938716184836
2000-01-04,139.199521353754,54789,1,4,2000.00899362477,1801,2000,4,4.93045546217388,NA,NA,0.287807316204132,0.261750545317664,1.38284239666034,16631.2223760497,1.60803750864792,29798.165489443,16429.6065259542,1.36607856902057
2000-01-05,202.299551078121,54790,1,5,2000.01172586521,1801,2000,5,5.30429667791146,NA,NA,0.42903125067576,0.313483721627231,1.62178463999485,28346.6567188527,1.58194564877095,27441.3725453052,28626.0969953285,1.63777213201831
2000-01-06,170.171293665715,54791,1,6,2000.01445810565,1801,2000,6,5.13135269238066,NA,NA,0.354539940121427,0.286773743354923,1.48929626085629,21896.8247256273,1.56986271137502,26643.9664900213,21587.9577697319,1.46828890438882
2000-01-07,151.061754158335,54792,1,7,2000.01719034608,1801,2000,7,5.01223587397641,143.422041820181,NA,0.319063046819849,0.272383290329199,1.43036114750216,18668.6954514667,1.62292779020354,35723.5717647229,18100.7496965923,1.38684618718942
2000-01-08,132.183511751045,54793,1,8,2000.01992258652,1801,2000,8,4.87873835046504,145.576899048373,NA,0.28789276618016,0.258383207861124,1.38226046951652,15786.3205165256,1.57841231890373,29930.8630182266,15393.1101163258,1.34783071168727
2000-01-09,123.966960447872,54794,1,9,2000.02265482696,1801,2000,9,4.81456223493051,146.806904696538,NA,0.274669519812096,0.25186752058964,1.36149269131717,14582.6015571,1.69427350118075,46350.680203207,14494.8074892875,1.35329586983785
2000-01-10,120.145052546397,54795,1,10,2000.0253870674,1801,2000,10,4.78324693685636,147.625343570782,NA,0.269951080592901,0.248916413544802,1.3537310223335,14052.4489277521,1.73437967505947,55026.5592520714,13845.9951536946,1.33384246909582
2000-01-11,131.742945950875,54796,1,11,2000.02811930783,1801,2000,11,4.87539979764834,146.565911214956,NA,0.297140153091445,0.259650581861752,1.39569965141862,15886.6776351791,1.69071210492784,42181.7537395106,16204.4729980723,1.42361907468623
2000-01-12,149.927297357898,54797,1,12,2000.03085154827,1801,2000,12,5.00469764514826,139.124846498131,NA,0.3339074101412,0.274631139840385,1.45301102761257,18821.8958170614,1.77995714557912,46866.0076059715,19035.1502104301,1.46947382117296
2000-01-13,166.107074564145,54798,1,13,2000.03358378871,1801,2000,13,5.10717976074065,138.547401091262,NA,0.367013427618508,0.287549579320508,1.50697345844774,21627.5575071081,1.98131998570224,69108.0889925884,21405.8254401169,1.49152352427313
2000-01-14,151.028711758322,54799,1,14,2000.03631602914,1801,2000,14,5.01201711566476,138.542706417662,NA,0.342514609067515,0.276683931586542,1.46625763747201,19133.0209808523,1.9200244911045,55309.7665025962,19677.6514798488,1.50799535518804
2000-01-15,140.631360054307,54800,1,15,2000.03904826958,1801,2000,15,4.9406891518189,139.742979109349,NA,0.327468052607234,0.269222798812137,1.4421582764993,17523.0155379748,1.94900539468499,56313.286604909,17475.5627083517,1.43825287044428
